gene_family	n_occurrences	n_plasmid	n_chromosome	pct_plasmid	crude_odds_ratio	crude_ci_lo	crude_ci_hi	crude_fisher_p	species_adjusted_MH_or	species_adjusted_ci_lo	species_adjusted_ci_hi	n_species_strata	n_species_with_within_estimate	within_species_all_same_direction	within_species_detail	unique_plasmids_carrying	unique_genomes_carrying	unique_bioprojects_carrying	largest_mob_cluster_share_pct	lineage_dominated_flag	crude_bh_q	significant_after_bh	survives_species_adjustment
toprJ1	171	129	42	75.44	2.7585	1.9468	3.9086	1.201616511013403e-09	15.5793	7.8724	30.8309	5	2	yes	Klebsiella pneumoniae:n=83,OR=40.1;Pseudomonas aeruginosa:n=44,OR=7.98	121	147	82	37.21	no	1.937300089184874e-09	yes	yes
blaIMP	278	208	70	74.82	2.6719	2.0372	3.5044	5.098016090457772e-14	7.7179	5.0316	11.8384	11	3	yes	Klebsiella pneumoniae:n=43,OR=20.5;Pseudomonas aeruginosa:n=80,OR=3.71;Enterobacter hormaechei:n=82,OR=13.4	203	257	136	32.69	no	9.823006613321073e-14	yes	yes
blaAFM	27	20	7	74.07	2.5614	1.083	6.0583	0.032657449903918064	30.8643	10.3642	91.9134	1	1	yes	Pseudomonas aeruginosa:n=21,OR=30.9	20	27	20	95.0	yes	0.03633716256914827	yes	yes
aac(6')	1187	851	336	71.69	2.2981	2.0238	2.6096	3.601217565304419e-41	5.7172	4.6873	6.9732	10	5	yes	Acinetobacter baumannii:n=56,OR=5.84;Klebsiella pneumoniae:n=525,OR=9.14;Pseudomonas aeruginosa:n=285,OR=2.19;Enterobacter hormaechei:n=130,OR=9.03;Klebsiella quasipneumoniae:n=20,OR=29.4	750	906	401	16.1	no	1.21062207514489e-40	yes	yes
aph(6)	2185	1557	628	71.26	2.2725	2.0691	2.496	9.477845708058948e-72	4.7854	4.148	5.5208	11	7	yes	Acinetobacter baumannii:n=463,OR=1.37;Klebsiella pneumoniae:n=1086,OR=12;Pseudomonas aeruginosa:n=123,OR=1.75;Klebsiella oxytoca:n=24,OR=8.37;Enterobacter hormaechei:n=148,OR=2.77;Klebsiella quasipneumoniae:n=28,OR=19.5;Klebsiella ornithinolytica:n=26,OR=15.6	1436	1841	767	8.41	no	4.679686318354105e-71	yes	yes
aph(3'')	2147	1529	618	71.22	2.2668	2.0622	2.4916	3.560886905194795e-70	4.7605	4.1241	5.4951	11	7	yes	Acinetobacter baumannii:n=460,OR=1.42;Klebsiella pneumoniae:n=1067,OR=11.5;Pseudomonas aeruginosa:n=118,OR=1.75;Klebsiella oxytoca:n=25,OR=8.75;Enterobacter hormaechei:n=151,OR=2.84;Klebsiella quasipneumoniae:n=27,OR=18.8;Klebsiella ornithinolytica:n=26,OR=15.6	1387	1816	754	8.57	no	1.7049094879417505e-69	yes	yes
tet(C)	42	29	13	69.05	2.0	1.0396	3.8478	0.043372687404687596	4.5565	1.8471	11.2403	6	0			29	42	36	44.83	no	0.04792226999958489	yes	yes
tet(X3)	77	52	25	67.53	1.8653	1.1574	3.0061	0.01151395798610057				1	0			45	51	34	42.31	no	0.012994324012884927	yes	not_estimable
tmexD2	49	33	16	67.35	1.8492	1.0176	3.3602	0.044964650978404935	10.1279	3.939	26.0407	7	1	yes	Pseudomonas aeruginosa:n=22,OR=12.7	33	45	38	48.48	no	0.049336214267972085	yes	yes
sul1	4520	2977	1543	65.86	1.789	1.6794	1.9059	8.597520483638018e-76	2.36	2.1753	2.5603	11	11	yes	Acinetobacter baumannii:n=478,OR=1.04;Klebsiella pneumoniae:n=2147,OR=1.86;Pseudomonas aeruginosa:n=678,OR=1.9;Klebsiella aerogenes:n=30,OR=7.65;Klebsiella michiganensis:n=51,OR=4.13;Klebsiella oxytoca:n=58,OR=7.03;Enterobacter cloacae:n=50,OR=36.1;Enterobacter hormaechei:n=507,OR=13.2;Klebsiella quasipneumoniae:n=85,OR=134;Klebsiella variicola:n=41,OR=138;Klebsiella ornithinolytica:n=36,OR=21.9	2099	2659	1080	13.81	no	4.38196205295099e-75	yes	yes
dfrA1	295	196	99	66.44	1.7782	1.3959	2.2653	1.9690454218233554e-06	1.2987	0.992	1.7003	11	3	no	Acinetobacter baumannii:n=31,OR=1.48;Klebsiella pneumoniae:n=184,OR=1.34;Enterobacter hormaechei:n=27,OR=0.461	193	274	176	20.92	no	2.6590527918640185e-06	yes	no
aadA2	1331	829	502	62.28	1.4904	1.3327	1.6667	1.7035429969703314e-12	0.9382	0.8335	1.0562	11	4	no	Acinetobacter baumannii:n=43,OR=1.87;Klebsiella pneumoniae:n=1028,OR=0.729;Pseudomonas aeruginosa:n=41,OR=0.0855;Enterobacter hormaechei:n=100,OR=50.7	792	1134	532	17.85	no	3.1665858061330864e-12	yes	no
blaVIM	215	134	81	62.33	1.4843	1.126	1.9565	0.004970767749847385	5.0092	3.156	7.9507	10	3	yes	Klebsiella pneumoniae:n=33,OR=7.56;Pseudomonas aeruginosa:n=73,OR=2.02;Enterobacter hormaechei:n=44,OR=21.7	131	198	95	14.93	no	0.005905122590044262	yes	yes
aac(6')-Ib4	281	168	113	59.79	1.3339	1.0504	1.6938	0.019435285904984306	4.6621	3.2984	6.5896	11	3	yes	Klebsiella pneumoniae:n=29,OR=13.7;Pseudomonas aeruginosa:n=129,OR=2.1;Enterobacter hormaechei:n=33,OR=16.1	165	266	133	16.07	no	0.021778547326152628	yes	yes
ant(2'')	396	236	160	59.6	1.3239	1.0826	1.619	0.00638355044290087	3.8071	2.8715	5.0474	10	4	yes	Acinetobacter baumannii:n=93,OR=3.62;Klebsiella pneumoniae:n=69,OR=2.57;Pseudomonas aeruginosa:n=98,OR=2.22;Enterobacter hormaechei:n=46,OR=46.9	226	363	191	19.49	no	0.007416183602781893	yes	yes
aadA1	1180	700	480	59.32	1.3126	1.1676	1.4756	5.082280712439902e-06	2.7249	2.2883	3.2447	11	6	no	Acinetobacter baumannii:n=309,OR=0.0582;Klebsiella pneumoniae:n=476,OR=21;Pseudomonas aeruginosa:n=139,OR=1.28;Klebsiella oxytoca:n=22,OR=3.6;Enterobacter hormaechei:n=93,OR=2.25;Klebsiella quasipneumoniae:n=20,OR=13.6	640	981	393	11.57	no	6.747902122399198e-06	yes	yes
blaVEB	32	19	13	59.38	1.31	0.6469	2.6529	0.48366340467714886	5.5363	1.9208	15.9572	5	0			18	29	22	63.16	yes	0.5094587862599301	no	yes
tmexC	71	42	29	59.15	1.2983	0.8087	2.0844	0.28731345476210457	17.6907	8.7057	35.9489	3	1	yes	Pseudomonas aeruginosa:n=39,OR=16.5	42	64	58	69.05	yes	0.3067265260298143	no	yes
tet(X5)	38	22	16	57.89	1.2324	0.6472	2.347	0.6265639347810179	2.0566	0.556	7.6067	1	0			20	35	21	59.09	yes	0.6556099450026545	no	no
mph(E)	836	479	357	57.3	1.205	1.0499	1.383	0.008092163290284313	2.7178	2.2319	3.3094	11	4	yes	Acinetobacter baumannii:n=380,OR=1.24;Klebsiella pneumoniae:n=235,OR=5;Pseudomonas aeruginosa:n=37,OR=15.2;Enterobacter hormaechei:n=21,OR=4.75	463	792	406	24.84	no	0.009264940578731316	yes	yes
